"chain_id","AA_POS","MITO","highlighted","overlap"
"J",41,"yak",FALSE,NA
"J",82,"siI,yak",TRUE,FALSE
"J",86,"siI",TRUE,FALSE
"J",89,"yak",FALSE,NA
"J",90,"yak",FALSE,NA
"J",93,"yak",FALSE,NA
"J",93,"siI",TRUE,FALSE
"J",96,"yak",FALSE,NA
"J",96,"siI",TRUE,FALSE
"J",100,"siI",TRUE,FALSE
"J",100,"yak",FALSE,NA
"J",101,"siI",TRUE,FALSE
"J",102,"siI",TRUE,FALSE
"J",102,"yak",FALSE,NA
"J",107,"siI",TRUE,FALSE
"J",107,"yak",FALSE,NA
"J",108,"yak",FALSE,NA
"J",115,"yak",FALSE,NA
"J",121,"yak",FALSE,NA
"J",127,"yak",FALSE,NA
"J",144,"yak",FALSE,NA
"J",159,"siI,yak",TRUE,FALSE
