Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build
11A,0.993728,18,1.014738,F,Control,1,ZW142_375,ZW142,375,0.00116722222222222,A
11A,0.99763,18,1.011294,M,Rotenone,9,ZW142_375,ZW142,375,0.000759111111111105,A
11B,0.958804,20,0.972336,M,Control,9,ZW142_375,ZW142,375,0.000676599999999999,B
11B,0.967992,20,0.981856,M,Control,9,ZW142_375,ZW142,375,0.000693199999999999,B
11B,1.00667,20,1.020622,M,Rotenone,9,ZW142_375,ZW142,375,0.000697599999999998,B
11B,1.004292,17,1.012888,M,Rotenone,1,ZW142_375,ZW142,375,0.000505647058823532,B
11B,0.999772,18,1.015478,M,Rotenone,1,ZW142_375,ZW142,375,0.000872555555555562,B
11B,1.000362,17,1.017444,F,Rotenone,1,ZW142_375,ZW142,375,0.00100482352941177,B
11B,1.000412,19,1.021544,F,Control,9,ZW142_375,ZW142,375,0.00111221052631579,B
11B,0.959666,19,0.972588,M,Control,9,ZW142_375,ZW142,375,0.000680105263157894,B
11B,1.004712,18,1.023608,F,Rotenone,1,ZW142_375,ZW142,375,0.00104977777777778,B
11B,1.000634,9,1.009748,F,Control,1,ZW142_375,ZW142,375,0.00101266666666667,B
11B,0.99236,19,1.01273,F,Control,9,ZW142_375,ZW142,375,0.00107210526315789,B
11B,1.01926,19,1.042358,F,Rotenone,9,ZW142_375,ZW142,375,0.00121568421052631,B
11B,1.006694,20,1.021052,M,Rotenone,9,ZW142_375,ZW142,375,0.000717900000000005,B
11B,1.024406,18,1.045074,F,Rotenone,9,ZW142_375,ZW142,375,0.00114822222222223,B
11B,0.974432,14,0.97947,M,Control,1,ZW142_375,ZW142,375,0.000359857142857142,B
11B,1.019224,17,1.038794,F,Rotenone,9,ZW142_375,ZW142,375,0.00115117647058824,B
11B,0.950906,20,0.959024,M,Control,1,ZW142_375,ZW142,375,0.000405899999999998,B
11B,0.996952,12,1.006142,F,Control,1,ZW142_375,ZW142,375,0.000765833333333345,B
11B,1.000068,19,1.02133,F,Control,9,ZW142_375,ZW142,375,0.00111905263157895,B
11B,1.004948,19,1.01817,M,Rotenone,9,ZW142_375,ZW142,375,0.000695894736842109,B
12A,1.041376,20,1.064532,F,Control,3,ZW140_375,ZW140,375,0.0011578,A
12A,1.05739,14,1.076008,F,Rotenone,3,ZW140_375,ZW140,375,0.00132985714285714,A
12A,1.034338,19,1.051476,M,Rotenone,3,ZW140_375,ZW140,375,0.000902000000000005,A
12A,1.005454,21,1.02102,M,Control,3,ZW140_375,ZW140,375,0.000741238095238094,A
12A,1.037266,15,1.056334,F,Control,3,ZW140_375,ZW140,375,0.00127120000000001,A
12A,1.03598,18,1.051748,M,Rotenone,3,ZW140_375,ZW140,375,0.000876,A
12A,1.040692,10,1.054708,F,Rotenone,3,ZW140_375,ZW140,375,0.0014016,A
12A,0.997902,20,1.012674,M,Control,3,ZW140_375,ZW140,375,0.000738600000000006,A
12B,1.032196,19,1.049114,M,Rotenone,3,ZW140_375,ZW140,375,0.00089042105263159,B
12B,1.053682,21,1.081136,F,Rotenone,3,ZW140_375,ZW140,375,0.00130733333333334,B
12B,1.05761,15,1.078086,F,Rotenone,3,ZW140_375,ZW140,375,0.00136506666666668,B
12B,1.00717,20,1.023354,M,Control,3,ZW140_375,ZW140,375,0.00080920000000001,B
12B,1.026294,19,1.042754,M,Rotenone,3,ZW140_375,ZW140,375,0.00086631578947368,B
12B,1.039684,17,1.06403,F,Control,3,ZW140_375,ZW140,375,0.00143211764705882,B
12B,1.041856,17,1.066208,F,Control,3,ZW140_375,ZW140,375,0.0014324705882353,B
13A,0.963992,12,0.971958,M,Control,9,ZW133_375,ZW133,375,0.000663833333333336,A
13A,1.023692,19,1.043046,F,Rotenone,9,ZW133_375,ZW133,375,0.00101863157894736,A
13A,0.995904,13,1.004208,M,Rotenone,4,ZW133_375,ZW133,375,0.000638769230769229,A
13A,1.009746,14,1.018864,M,Rotenone,4,ZW133_375,ZW133,375,0.000651285714285711,A
13A,0.996354,8,1.003982,F,Control,2,ZW133_375,ZW133,375,0.000953499999999996,A
13A,0.965196,12,0.973618,M,Control,4,ZW133_375,ZW133,375,0.000701833333333327,A
13A,1.00227,12,1.015072,F,Control,2,ZW133_375,ZW133,375,0.00106683333333333,A
13A,1.019398,19,1.038542,F,Rotenone,9,ZW133_375,ZW133,375,0.00100757894736842,A
13A,1.014722,12,1.028,F,Rotenone,4,ZW133_375,ZW133,375,0.00110650000000001,A
13A,1.005104,13,1.013664,M,Rotenone,4,ZW133_375,ZW133,375,0.000658461538461531,A
13A,0.985562,13,0.994212,M,Control,4,ZW133_375,ZW133,375,0.00066538461538461,A
13A,0.999343,18,1.012864,M,Rotenone,9,ZW133_375,ZW133,375,0.000751166666666667,A
13A,1.022622,19,1.043868,F,Rotenone,9,ZW133_375,ZW133,375,0.00111821052631579,A
13A,1.000422,19,1.014082,M,Rotenone,2,ZW133_375,ZW133,375,0.000718947368421053,A
13A,0.996348,19,1.017046,F,Control,9,ZW133_375,ZW133,375,0.00108936842105263,A
13A,0.958196,10,0.964824,M,Control,2,ZW133_375,ZW133,375,0.000662799999999997,A
13A,0.966906,14,0.97598,M,Control,9,ZW133_375,ZW133,375,0.000648142857142851,A
13A,1.005946,18,1.017774,M,Rotenone,2,ZW133_375,ZW133,375,0.000657111111111108,A
13A,1.018716,18,1.036178,F,Rotenone,2,ZW133_375,ZW133,375,0.000970111111111116,A
13A,1.022722,13,1.03585,F,Control,4,ZW133_375,ZW133,375,0.00100984615384616,A
13A,0.99668,19,1.01768,F,Control,9,ZW133_375,ZW133,375,0.00110526315789473,A
13A,1.027264,14,1.043054,F,Rotenone,2,ZW133_375,ZW133,375,0.00112785714285714,A
13A,1.022698,13,1.035718,F,Control,4,ZW133_375,ZW133,375,0.00100153846153845,A
13A,1.003038,19,1.015534,M,Rotenone,9,ZW133_375,ZW133,375,0.000657684210526307,A
13A,0.98652,13,0.995796,M,Control,4,ZW133_375,ZW133,375,0.000713538461538466,A
13A,1.011756,12,1.024946,F,Rotenone,4,ZW133_375,ZW133,375,0.00109916666666665,A
13A,1.002592,20,1.015668,M,Rotenone,9,ZW133_375,ZW133,375,0.000653800000000004,A
13A,0.947642,10,0.954788,M,Control,9,ZW133_375,ZW133,375,0.000714599999999999,A
13A,1.000798,20,1.022042,F,Control,9,ZW133_375,ZW133,375,0.00106219999999999,A
13A,1.024134,12,1.03736,F,Rotenone,4,ZW133_375,ZW133,375,0.00110216666666666,A
13A,1.02387,14,1.038454,F,Control,4,ZW133_375,ZW133,375,0.00104171428571428,A
13B,1.023672,18,1.042156,F,Rotenone,9,ZW133_375,ZW133,375,0.0010268888888889,B
13B,0.955938,19,0.970686,M,Control,9,ZW133_375,ZW133,375,0.000776210526315794,B
13B,1.022858,19,1.041712,F,Rotenone,9,ZW133_375,ZW133,375,0.00099231578947368,B
13B,1.006842,18,1.019478,M,Rotenone,9,ZW133_375,ZW133,375,0.000702000000000005,B
13B,0.993202,20,1.02218,F,Control,9,ZW133_375,ZW133,375,0.0014489,B
13B,0.947464,20,0.961358,M,Control,9,ZW133_375,ZW133,375,0.000694700000000004,B
13B,1.01955,20,1.03974,F,Rotenone,9,ZW133_375,ZW133,375,0.00100950000000001,B
13B,1.006836,20,1.021332,M,Rotenone,9,ZW133_375,ZW133,375,0.000724799999999992,B
13B,1.008036,25,1.025296,M,Rotenone,2,ZW133_375,ZW133,375,0.000690400000000002,B
13B,1.007098,16,1.018824,M,Rotenone,9,ZW133_375,ZW133,375,0.000732874999999994,B
13B,0.996208,20,1.017398,F,Control,9,ZW133_375,ZW133,375,0.0010595,B
13B,1.00207,17,1.022192,F,Control,2,ZW133_375,ZW133,375,0.00118364705882353,B
13B,1.01357,20,1.038782,F,Rotenone,2,ZW133_375,ZW133,375,0.0012606,B
13B,1.002574,22,1.026072,F,Control,2,ZW133_375,ZW133,375,0.00106809090909091,B
13B,0.964116,19,0.976342,M,Control,2,ZW133_375,ZW133,375,0.00064347368421053,B
13B,1,19,1.013758,M,Rotenone,2,ZW133_375,ZW133,375,0.000724105263157891,B
13B,1.014274,20,1.034484,F,Rotenone,2,ZW133_375,ZW133,375,0.0010105,B
13B,0.952146,16,0.963419,M,Control,2,ZW133_375,ZW133,375,0.000704562499999999,B
13B,1.001106,19,1.012938,F,Control,9,ZW133_375,ZW133,375,0.000622736842105255,B
13B,0.952586,19,0.96646,M,Control,9,ZW133_375,ZW133,375,0.000730210526315786,B
14A,1.035496,21,1.06342,F,Control,3,ZW09_375,ZW09,375,0.00132971428571429,A
14A,1.048818,16,1.070674,F,Rotenone,3,ZW09_375,ZW09,375,0.00136599999999999,A
14A,1.03522,17,1.04876,M,Rotenone,3,ZW09_375,ZW09,375,0.000796470588235287,A
14A,1.053272,20,1.077016,F,Rotenone,3,ZW09_375,ZW09,375,0.0011872,A
14A,1.03603,17,1.051564,M,Rotenone,3,ZW09_375,ZW09,375,0.000913764705882349,A
14A,1.0365,17,1.057334,F,Control,3,ZW09_375,ZW09,375,0.00122552941176471,A
14A,0.990094,21,1.006106,M,Control,3,ZW09_375,ZW09,375,0.000762476190476186,A
14A,0.998146,19,1.012808,M,Control,3,ZW09_375,ZW09,375,0.000771684210526313,A
14B,1.055442,19,1.079772,F,Rotenone,3,ZW09_375,ZW09,375,0.00128052631578947,B
14B,1.03566,15,1.055878,F,Control,3,ZW09_375,ZW09,375,0.00134786666666667,B
14B,0.998488,19,1.013288,M,Control,3,ZW09_375,ZW09,375,0.000778947368421049,B
14B,1.026068,17,1.03998,M,Rotenone,3,ZW09_375,ZW09,375,0.000818352941176466,B
14B,1.041444,16,1.064118,F,Control,3,ZW09_375,ZW09,375,0.00141712499999999,B
14B,0.99919,20,1.014742,M,Control,3,ZW09_375,ZW09,375,0.0007776,B
14B,1.041414,14,1.05886,F,Rotenone,3,ZW09_375,ZW09,375,0.00124614285714285,B
14B,1.036192,24,1.055136,M,Rotenone,3,ZW09_375,ZW09,375,0.000789333333333336,B
15A,0.971326,12,0.97997,M,Control,4,ZH42_375,ZH42,375,0.000720333333333332,A
15A,1.004256,13,1.01864,F,Control,4,ZH42_375,ZH42,375,0.00110646153846153,A
15A,1.007092,13,1.015786,M,Rotenone,4,ZH42_375,ZH42,375,0.000668769230769229,A
15A,1.039766,11,1.05139,F,Rotenone,4,ZH42_375,ZH42,375,0.00105672727272728,A
15A,0.95276,11,0.960286,M,Control,4,ZH42_375,ZH42,375,0.000684181818181811,A
15A,0.995866,14,1.004852,M,Rotenone,4,ZH42_375,ZH42,375,0.000641857142857146,A
15A,1.03092,12,1.043016,F,Rotenone,4,ZH42_375,ZH42,375,0.00100799999999999,A
15A,1.017386,13,1.031008,F,Rotenone,4,ZH42_375,ZH42,375,0.00104784615384616,A
15A,1.025338,14,1.040138,F,Control,4,ZH42_375,ZH42,375,0.00105714285714285,A
15A,0.998634,13,1.012374,F,Control,4,ZH42_375,ZH42,375,0.00105692307692308,A
15A,1.008036,13,1.016904,M,Rotenone,4,ZH42_375,ZH42,375,0.000682153846153854,A
15A,0.974694,12,0.983796,M,Control,4,ZH42_375,ZH42,375,0.000758500000000005,A
15B,1.010546,13,1.025808,F,Control,4,ZH42_375,ZH42,375,0.00117400000000001,B
15B,1.04034,13,1.05593,F,Control,4,ZH42_375,ZH42,375,0.00119923076923077,B
15B,0.96322,13,0.972832,M,Control,4,ZH42_375,ZH42,375,0.00073938461538462,B
15B,1.02974,13,1.043622,F,Rotenone,4,ZH42_375,ZH42,375,0.00106784615384615,B
15B,1.005302,15,1.014768,M,Rotenone,4,ZH42_375,ZH42,375,0.000631066666666665,B
15B,1.02771,14,1.043398,F,Control,4,ZH42_375,ZH42,375,0.00112057142857144,B
15B,0.963844,13,0.972958,M,Control,4,ZH42_375,ZH42,375,0.00070107692307692,B
15B,0.970462,12,0.979188,M,Control,4,ZH42_375,ZH42,375,0.000727166666666658,B
15B,1.0132,13,1.027166,F,Rotenone,4,ZH42_375,ZH42,375,0.00107430769230769,B
15B,1.017172,13,1.03122,F,Rotenone,4,ZH42_375,ZH42,375,0.00108061538461539,B
15B,0.996062,14,1.0055,M,Rotenone,4,ZH42_375,ZH42,375,0.000674142857142861,B
15B,1.000792,14,1.01062,M,Rotenone,4,ZH42_375,ZH42,375,0.000702000000000012,B
16A,0.955642,20,0.96893,M,Control,9,ZH33_375,ZH33,375,0.000664399999999998,A
16A,1.000052,17,1.012692,M,Rotenone,2,ZH33_375,ZH33,375,0.000743529411764705,A
16A,1.027364,19,1.048628,F,Rotenone,9,ZH33_375,ZH33,375,0.00111915789473684,A
16A,0.978204,20,0.992156,M,Control,9,ZH33_375,ZH33,375,0.000697600000000004,A
16A,1.002908,16,1.019778,F,Control,9,ZH33_375,ZH33,375,0.00105437500000001,A
16A,0.997498,19,1.011882,M,Rotenone,2,ZH33_375,ZH33,375,0.000757052631578945,A
16A,1.00044,17,1.018412,F,Control,2,ZH33_375,ZH33,375,0.00105717647058824,A
16A,1.027796,20,1.049262,F,Rotenone,2,ZH33_375,ZH33,375,0.0010733,A
16A,1.00257,20,1.022876,F,Control,9,ZH33_375,ZH33,375,0.0010153,A
16A,1.011492,20,1.032714,F,Rotenone,9,ZH33_375,ZH33,375,0.00106109999999999,A
16A,0.947372,20,0.961206,M,Control,2,ZH33_375,ZH33,375,0.000691700000000001,A
16A,0.998826,17,1.019242,F,Control,2,ZH33_375,ZH33,375,0.00120094117647059,A
16A,1.002876,19,1.023638,F,Control,9,ZH33_375,ZH33,375,0.00109273684210526,A
16A,1.002152,19,1.014614,M,Rotenone,9,ZH33_375,ZH33,375,0.000655894736842104,A
16A,1.011352,20,1.032858,F,Rotenone,9,ZH33_375,ZH33,375,0.0010753,A
16A,0.968712,18,0.979386,M,Control,2,ZH33_375,ZH33,375,0.000592999999999998,A
16A,0.99637,18,1.009608,M,Rotenone,9,ZH33_375,ZH33,375,0.000735444444444449,A
16A,1.011014,18,1.03128,F,Rotenone,2,ZH33_375,ZH33,375,0.00112588888888888,A
16A,0.974474,19,0.98708,M,Control,9,ZH33_375,ZH33,375,0.000663473684210527,A
16A,0.997912,20,1.01225,M,Rotenone,9,ZH33_375,ZH33,375,0.000716900000000004,A
16B,1.018648,20,1.042508,F,Rotenone,9,ZH33_375,ZH33,375,0.001193,B
16B,1.00586,19,1.019174,M,Rotenone,9,ZH33_375,ZH33,375,0.000700736842105266,B
16B,1.006496,20,1.020468,M,Rotenone,2,ZH33_375,ZH33,375,0.000698599999999994,B
16B,1.004094,13,1.01257,M,Rotenone,2,ZH33_375,ZH33,375,0.000651999999999994,B
16B,0.959378,18,0.97253,M,Control,2,ZH33_375,ZH33,375,0.00073066666666667,B
16B,1.02663,6,1.031572,F,Rotenone,2,ZH33_375,ZH33,375,0.000823666666666667,B
16B,0.985656,21,0.99892,M,Control,9,ZH33_375,ZH33,375,0.00063161904761905,B
16B,0.950558,21,0.96484,M,Control,2,ZH33_375,ZH33,375,0.000680095238095239,B
16B,0.9526,20,0.966684,M,Control,9,ZH33_375,ZH33,375,0.000704199999999999,B
16B,1.002982,20,1.024084,F,Control,9,ZH33_375,ZH33,375,0.0010551,B
16B,1.017116,18,1.027224,F,Rotenone,2,ZH33_375,ZH33,375,0.000561555555555556,B
16B,0.994738,20,1.014806,F,Control,9,ZH33_375,ZH33,375,0.0010034,B
16B,1.000574,16,1.018118,F,Control,2,ZH33_375,ZH33,375,0.0010965,B
16B,1.001038,17,1.012622,M,Rotenone,9,ZH33_375,ZH33,375,0.000681411764705872,B
16B,1.000892,19,1.015722,M,Rotenone,9,ZH33_375,ZH33,375,0.00078052631578948,B
16B,0.998866,20,1.019322,F,Control,9,ZH33_375,ZH33,375,0.0010228,B
16B,0.950932,20,0.964068,M,Control,9,ZH33_375,ZH33,375,0.000656800000000002,B
16B,1.023582,19,1.04507,F,Rotenone,9,ZH33_375,ZH33,375,0.00113094736842105,B
16B,0.998768,19,1.019602,F,Control,2,ZH33_375,ZH33,375,0.00109652631578947,B
16B,1.01451,19,1.034882,F,Rotenone,9,ZH33_375,ZH33,375,0.00107221052631579,B
17A,0.994596,12,1.01032,F,Control,5,ZH26_375,ZH26,375,0.00131033333333334,A
17A,0.970674,12,0.979746,M,Control,5,ZH26_375,ZH26,375,0.000755999999999997,A
17A,1.027048,8,1.037342,F,Rotenone,5,ZH26_375,ZH26,375,0.00128675,A
17A,0.978112,13,0.988026,M,Control,5,ZH26_375,ZH26,375,0.000762615384615383,A
17A,1.021014,8,1.029264,F,Rotenone,5,ZH26_375,ZH26,375,0.00103124999999998,A
17A,1.008392,14,1.018828,M,Rotenone,5,ZH26_375,ZH26,375,0.000745428571428579,A
17A,1.000924,13,1.010862,M,Rotenone,5,ZH26_375,ZH26,375,0.000764461538461539,A
17A,0.997318,11,1.010888,F,Control,5,ZH26_375,ZH26,375,0.00123363636363636,A
17A,1.024256,8,1.033232,F,Rotenone,5,ZH26_375,ZH26,375,0.00112199999999998,A
17A,1.000014,14,1.010986,M,Rotenone,5,ZH26_375,ZH26,375,0.000783714285714284,A
17A,0.974374,12,0.98513,M,Control,5,ZH26_375,ZH26,375,0.000896333333333332,A
17A,0.999916,12,1.01395,F,Control,5,ZH26_375,ZH26,375,0.00116949999999999,A
17B,1.000646,9,1.008006,M,Rotenone,5,ZH26_375,ZH26,375,0.000817777777777781,B
17B,1.008346,10,1.01684,M,Rotenone,5,ZH26_375,ZH26,375,0.0008494,B
17B,0.952816,14,0.963718,M,Control,5,ZH26_375,ZH26,375,0.000778714285714283,B
17B,1.003004,13,1.02008,F,Control,5,ZH26_375,ZH26,375,0.00131353846153847,B
17B,1.039086,7,1.04769,F,Rotenone,5,ZH26_375,ZH26,375,0.00122914285714287,B
17B,0.994568,14,1.013178,F,Control,5,ZH26_375,ZH26,375,0.00132928571428571,B
17B,0.947748,15,0.96031,M,Control,5,ZH26_375,ZH26,375,0.000837466666666664,B
17B,1.023786,6,1.030944,F,Rotenone,5,ZH26_375,ZH26,375,0.001193,B
17B,1.002308,10,1.01085,M,Rotenone,5,ZH26_375,ZH26,375,0.000854200000000005,B
17B,0.96617,14,0.978484,M,Control,5,ZH26_375,ZH26,375,0.000879571428571432,B
17B,1.01499,6,1.02174,F,Rotenone,5,ZH26_375,ZH26,375,0.00112500000000001,B
17B,0.999124,13,1.015894,F,Control,5,ZH26_375,ZH26,375,0.00129,B
18A,0.958514,11,0.965976,M,Control,6,ZH23_375,ZH23,375,0.000678363636363634,A
18A,1.015572,6,1.021236,F,Rotenone,6,ZH23_375,ZH23,375,0.000944000000000019,A
18A,0.99721,9,1.006732,F,Control,6,ZH23_375,ZH23,375,0.00105799999999999,A
18A,0.995916,12,1.002644,M,Rotenone,6,ZH23_375,ZH23,375,0.000560666666666672,A
18A,0.950612,11,0.95761,M,Control,6,ZH23_375,ZH23,375,0.000636181818181814,A
18A,1.030908,7,1.037458,F,Rotenone,6,ZH23_375,ZH23,375,0.000935714285714294,A
18A,1.016684,6,1.02206,F,Rotenone,6,ZH23_375,ZH23,375,0.000896000000000008,A
18A,1.011568,12,1.018568,M,Rotenone,6,ZH23_375,ZH23,375,0.000583333333333325,A
18A,0.996898,13,1.004032,M,Rotenone,6,ZH23_375,ZH23,375,0.000548769230769237,A
18A,1.001398,8,1.010146,F,Control,6,ZH23_375,ZH23,375,0.0010935,A
18A,0.968724,11,0.976152,M,Control,6,ZH23_375,ZH23,375,0.000675272727272726,A
18A,0.99692,8,1.005376,F,Control,6,ZH23_375,ZH23,375,0.001057,A
18B,1.002784,14,1.012008,M,Rotenone,6,ZH23_375,ZH23,375,0.000658857142857151,B
18B,1.011538,15,1.021588,M,Rotenone,6,ZH23_375,ZH23,375,0.000669999999999993,B
18B,0.993432,11,1.004936,F,Control,6,ZH23_375,ZH23,375,0.00104581818181819,B
18B,0.958834,13,0.966934,M,Control,6,ZH23_375,ZH23,375,0.000623076923076923,B
18B,1.02336,11,1.035572,F,Rotenone,6,ZH23_375,ZH23,375,0.00111018181818181,B
18B,0.959344,12,0.967154,M,Control,6,ZH23_375,ZH23,375,0.000650833333333332,B
18B,1.011538,11,1.023746,F,Rotenone,6,ZH23_375,ZH23,375,0.00110981818181818,B
18B,0.998898,11,1.010654,F,Control,6,ZH23_375,ZH23,375,0.00106872727272727,B
18B,1.000766,14,1.00971,M,Rotenone,6,ZH23_375,ZH23,375,0.000638857142857147,B
18B,1.020464,11,1.033336,F,Rotenone,6,ZH23_375,ZH23,375,0.00117018181818182,B
18B,0.950976,13,0.959648,M,Control,6,ZH23_375,ZH23,375,0.000667076923076916,B
18B,0.996942,11,1.008612,F,Control,6,ZH23_375,ZH23,375,0.0010609090909091,B
19A,0.964236,19,0.974838,M,Control,1,Bei59_Ore,Bei59,Ore,0.000558,A
19A,1.018802,12,1.033086,F,Rotenone,1,Bei59_Ore,Bei59,Ore,0.00119033333333333,A
19A,1.016972,20,1.044168,F,Rotenone,9,Bei59_Ore,Bei59,Ore,0.0013598,A
19A,1.027582,21,1.056134,F,Rotenone,9,Bei59_Ore,Bei59,Ore,0.00135961904761904,A
19A,0.956538,17,0.971916,M,Control,1,Bei59_Ore,Bei59,Ore,0.000904588235294118,A
19A,1.002868,20,1.03204,F,Control,9,Bei59_Ore,Bei59,Ore,0.0014586,A
19A,0.996782,20,1.013646,M,Rotenone,9,Bei59_Ore,Bei59,Ore,0.000843200000000005,A
19A,0.979434,20,0.995582,M,Control,9,Bei59_Ore,Bei59,Ore,0.000807399999999997,A
19A,0.993474,20,1.021674,F,Control,9,Bei59_Ore,Bei59,Ore,0.00141,A
19A,0.9994,21,1.017288,M,Rotenone,9,Bei59_Ore,Bei59,Ore,0.000851809523809525,A
19A,1.00201,7,1.010712,F,Control,1,Bei59_Ore,Bei59,Ore,0.00124314285714286,A
19A,1.020456,21,1.050114,F,Rotenone,9,Bei59_Ore,Bei59,Ore,0.00141228571428571,A
19A,0.951146,16,0.964414,M,Control,9,Bei59_Ore,Bei59,Ore,0.000829249999999997,A
19A,1.016776,5,1.022814,F,Rotenone,1,Bei59_Ore,Bei59,Ore,0.0012076,A
19A,1.002978,16,1.02545,F,Control,9,Bei59_Ore,Bei59,Ore,0.0014045,A
19A,0.996228,16,1.010314,F,Control,1,Bei59_Ore,Bei59,Ore,0.000880374999999996,A
19A,0.971598,17,0.985394,M,Control,9,Bei59_Ore,Bei59,Ore,0.000811529411764708,A
19A,1.001912,19,1.01872,M,Rotenone,9,Bei59_Ore,Bei59,Ore,0.000884631578947377,A
19B,0.99714,19,1.02167,F,Control,9,Bei59_Ore,Bei59,Ore,0.00129105263157895,B
19B,0.996816,21,1.024806,F,Control,9,Bei59_Ore,Bei59,Ore,0.00133285714285715,B
19B,0.96728,20,0.98284,M,Control,9,Bei59_Ore,Bei59,Ore,0.000778000000000001,B
19B,0.970738,17,0.983116,M,Control,1,Bei59_Ore,Bei59,Ore,0.000728117647058824,B
19B,0.977284,21,0.993366,M,Control,9,Bei59_Ore,Bei59,Ore,0.00076580952380952,B
19B,1.00457,20,1.020108,M,Rotenone,9,Bei59_Ore,Bei59,Ore,0.000776900000000003,B
19B,1.00145,18,1.022402,F,Control,1,Bei59_Ore,Bei59,Ore,0.001164,B
19B,1.023692,7,1.033982,F,Rotenone,1,Bei59_Ore,Bei59,Ore,0.00146999999999999,B
19B,0.995684,19,1.01033,M,Rotenone,9,Bei59_Ore,Bei59,Ore,0.000770842105263155,B
19B,1.0114,19,1.027076,M,Rotenone,9,Bei59_Ore,Bei59,Ore,0.000825052631578949,B
19B,1.011238,16,1.030752,F,Rotenone,9,Bei59_Ore,Bei59,Ore,0.00121962499999999,B
19B,0.970926,9,0.978156,M,Control,1,Bei59_Ore,Bei59,Ore,0.000803333333333341,B
19B,1.017762,20,1.044788,F,Rotenone,9,Bei59_Ore,Bei59,Ore,0.0013513,B
19B,1.002208,20,1.029498,F,Control,9,Bei59_Ore,Bei59,Ore,0.0013645,B
19B,1.019302,19,1.043676,F,Rotenone,9,Bei59_Ore,Bei59,Ore,0.00128284210526316,B
19B,0.986126,18,1.00011,M,Control,9,Bei59_Ore,Bei59,Ore,0.000776888888888895,B
